_c0|nome|nmec|email|password|tipo_utilizador
0|Santiago|10001|santiago@ua.pt|123|2
1|Francisco|10002|francisco@ua.pt|123|2
2|João|10003|joão@ua.pt|123|2
3|Afonso|10004|afonso@ua.pt|123|2
4|Rodrigo|10005|rodrigo@ua.pt|123|2
5|Martim|10006|martim@ua.pt|123|2
6|Tomás|10007|tomás@ua.pt|123|2
7|Duarte|10008|duarte@ua.pt|123|2
8|Miguel|10009|miguel@ua.pt|123|2
9|Gabriel|10010|gabriel@ua.pt|123|2
10|Lourenço|10011|lourenço@ua.pt|123|2
11|Gonçalo|10012|gonçalo@ua.pt|123|2
12|Dinis|10013|dinis@ua.pt|123|2
13|Guilherme|10014|guilherme@ua.pt|123|2
14|Pedro|10015|pedro@ua.pt|123|2
15|Salvador|10016|salvador@ua.pt|123|2
16|Rafael|10017|rafael@ua.pt|123|2
17|Lucas|10018|lucas@ua.pt|123|2
18|Tiago|10019|tiago@ua.pt|123|2
19|Gustavo|10020|gustavo@ua.pt|123|2
20|Diogo|10021|diogo@ua.pt|123|2
21|Vicente|10022|vicente@ua.pt|123|2
22|José|10023|josé@ua.pt|123|2
23|David|10024|david@ua.pt|123|2
24|Mateus|10025|mateus@ua.pt|123|2
25|Simão|10026|simão@ua.pt|123|2
26|António|10027|antónio@ua.pt|123|2
27|Diego|10028|diego@ua.pt|123|2
28|Manuel|10029|manuel@ua.pt|123|2
29|Henrique|10030|henrique@ua.pt|123|2
30|Daniel|10031|daniel@ua.pt|123|2
31|Vasco|10032|vasco@ua.pt|123|2
32|Bernardo|10033|bernardo@ua.pt|123|2
33|Enzo|10034|enzo@ua.pt|123|2
34|André|10035|andré@ua.pt|123|2
35|Leonardo|10036|leonardo@ua.pt|123|2
36|Luís|10037|luís@ua.pt|123|2
37|Isaac|10038|isaac@ua.pt|123|2
38|Eduardo|10039|eduardo@ua.pt|123|2
39|Alexandre|10040|alexandre@ua.pt|123|2
40|Kevin|10041|kevin@ua.pt|123|2
41|Matias|10042|matias@ua.pt|123|2
42|Leandro|10043|leandro@ua.pt|123|2
43|Filipe|10044|filipe@ua.pt|123|2
44|Xavier|10045|xavier@ua.pt|123|2
45|Rúben|10046|rúben@ua.pt|123|2
46|Samuel|10047|samuel@ua.pt|123|2
47|Ricardo|10048|ricardo@ua.pt|123|2
48|Artur|10049|artur@ua.pt|123|2
49|Valentim|10050|valentim@ua.pt|123|2
50|Frederico|10051|frederico@ua.pt|123|2
51|Lorenzo|10052|lorenzo@ua.pt|123|2
52|Bryan|10053|bryan@ua.pt|123|2
53|Bruno|10054|bruno@ua.pt|123|2
54|Nuno|10055|nuno@ua.pt|123|2
55|Benjamim|10056|benjamim@ua.pt|123|2
56|Carlos|10057|carlos@ua.pt|123|2
57|Sebastião|10058|sebastião@ua.pt|123|2
58|Rui|10059|rui@ua.pt|123|2
59|Davi|10060|davi@ua.pt|123|2
60|Hugo|10061|hugo@ua.pt|123|2
61|Noah|10062|noah@ua.pt|123|2
62|Joaquim|10063|joaquim@ua.pt|123|2
63|Mário|10064|mário@ua.pt|123|2
64|Tomé|10065|tomé@ua.pt|123|2
65|Fábio|10066|fábio@ua.pt|123|2
66|Paulo|10067|paulo@ua.pt|123|2
67|Manel|10068|manel@ua.pt|123|2
68|Renato|10069|renato@ua.pt|123|2
69|Jorge|10070|jorge@ua.pt|123|2
70|Jaime|10071|jaime@ua.pt|123|2
71|Marco|10072|marco@ua.pt|123|2
72|Ângelo|10073|ângelo@ua.pt|123|2
73|Micael|10074|micael@ua.pt|123|2
74|Liam|10075|liam@ua.pt|123|2
75|Ivan|10076|ivan@ua.pt|123|2
76|Matheus|10077|matheus@ua.pt|123|2
77|William|10078|william@ua.pt|123|2
78|Gaspar|10079|gaspar@ua.pt|123|2
79|Cristiano|10080|cristiano@ua.pt|123|2
80|Luca|10081|luca@ua.pt|123|2
81|Jonathan|10082|jonathan@ua.pt|123|2
82|Sérgio|10083|sérgio@ua.pt|123|2
83|Gil|10084|gil@ua.pt|123|2
84|Ivo|10085|ivo@ua.pt|123|2
85|Brian|10086|brian@ua.pt|123|2
86|Arthur|10087|arthur@ua.pt|123|2
87|Christian|10088|christian@ua.pt|123|2
88|Vítor|10089|vítor@ua.pt|123|2
89|Yuri|10090|yuri@ua.pt|123|2
90|Fernando|10091|fernando@ua.pt|123|2
91|Dilan|10092|dilan@ua.pt|123|2
92|Romeu|10093|romeu@ua.pt|123|2
93|Caio|10094|caio@ua.pt|123|2
94|Isac|10095|isac@ua.pt|123|2
95|Emanuel|10096|emanuel@ua.pt|123|2
96|Sandro|10097|sandro@ua.pt|123|2
97|Igor|10098|igor@ua.pt|123|2
98|Moisés|10099|moisés@ua.pt|123|2
99|Mauro|10100|mauro@ua.pt|123|2
100|César|10101|césar@ua.pt|123|2
101|Josué|10102|josué@ua.pt|123|2
102|Edgar|10103|edgar@ua.pt|123|2
103|Elias|10104|elias@ua.pt|123|2
104|Victor|10105|victor@ua.pt|123|2
105|Joel|10106|joel@ua.pt|123|2
106|Alex|10107|alex@ua.pt|123|2
107|Telmo|10108|telmo@ua.pt|123|2
108|Denis|10109|denis@ua.pt|123|2
109|Marcelo|10110|marcelo@ua.pt|123|2
110|Adrien|10111|adrien@ua.pt|123|2
111|Álvaro|10112|álvaro@ua.pt|123|2
112|Dylan|10113|dylan@ua.pt|123|2
113|Raúl|10114|raúl@ua.pt|123|2
114|Muhammad|10115|muhammad@ua.pt|123|2
115|Nelson|10116|nelson@ua.pt|123|2
116|Dário|10117|dário@ua.pt|123|2
117|Oliver|10118|oliver@ua.pt|123|2
118|Thiago|10119|thiago@ua.pt|123|2
119|Ismael|10120|ismael@ua.pt|123|2
120|Márcio|10121|márcio@ua.pt|123|2
121|Ian|10122|ian@ua.pt|123|2
